Outlet,Brand,Products Name,Volume/Weight,Satchet/Units,Price in RM
LOTUS,FARM FRESH,YARRA CHOCOLATE MILK UHT 1L,1,1,5.89
LOTUS,FARM FRESH,YARRA STRAWBERRY MILK UHT 1L,1,1,5.89
LOTUS,FARM FRESH,FARM FRESH UHT SOY MILK ORI 200MLX4,0.2,4,6.8
LOTUS,FARM FRESH,FARM FRESH UHT CHOC MILK WT SOY 200MLX4,0.2,4,6.8
LOTUS,FARM FRESH,FARM FRESH UHT CHOCOLATE MILK 200MLX4,0.2,4,9.95
LOTUS,FARM FRESH,FARM FRESH UHT YOG DRK M/BERRIES 200MLX4,0.2,4,9.95
LOTUS,FARM FRESH,FARM FRESH UHT OAT MILK 200MLX4,0.2,4,14
LOTUS,FARM FRESH,FARM FRESH UHT ALMOND MILK 200MLX4,0.2,4,14
LOTUS,FARM FRESH,FARM FRESH UHT ALMOND UNSWEET 200MLX4,0.2,4,14
LOTUS,FARM FRESH,YARRA FULL CREAM MILK UHT 200MLX4,0.2,4,6.8
LOTUS,FARM FRESH,YARRA CHOCOLATE MILK UHT 200MLX4,0.2,4,6.8
LOTUS,FARM FRESH,YARRA STRAWBERRY MILK UHT 200MLX4,0.2,4,6.8
LOTUS,FERNLEAF,FERNLEAF FAMILY MILK POWDER 1.8KG,1.8,1,41.99
LOTUS,FERNLEAF,FERNLEAF FULL CREAM 1.8KG,1.8,1,52.5
LOTUS,FERNLEAF,FERNLEAF FAMILY MILK 300G,0.3,1,9.5
LOTUS,FERNLEAF,FERNLEAF FULL CREAM 300G,0.3,1,11.9
LOTUS,FERNLEAF,FERNLEAF FAMILY MILK 550G,0.55,1,14.9
LOTUS,FERNLEAF,FERNLEAF FULL CREAM 550G,0.55,1,18.95
LOTUS,FERNLEAF,FERNLEAF PROTEIN PLUS 800G,0.8,1,31
LOTUS,FERNLEAF,FERNLEAF FAMILY MILK 900G,0.9,1,23.2
LOTUS,FERNLEAF,FERNLEAF FULL CREAM 900G,0.9,1,28.75
LOTUS,FRENCHE ROAST,FRENCHE ROAST IDG TIRAMISU LATTE 18SX23G,0.023,18,11.5
LOTUS,FRENCHE ROAST,FRENCHE ROAST IDG SLT CRM LATTE 20SX23G,0.023,20,11.5
LOTUS,FRENCHE ROAST,FRENCHE ROAST FREEZE DRIED MICROGROUND PREMIX COFFEE SIGNATURE BLEND 28X19G,0.019,28,11.5
LOTUS,FUZE TEA,FUZE TEA ICE G/TEA JASMINE 1.5L,1.5,1,4.69
LOTUS,FUZE TEA,FUZE TEA ICE PASSION FRUIT TEA 1.5L,1.5,1,4.69
LOTUS,FUZE TEA,FUZE TEA ICE LEMON TEA 1.5L,1.5,1,4.69
LOTUS,FUZE TEA,FUZE TEA MANGO CHAMOMILE 1.5L,1.5,1,5.99
LOTUS,FUZE TEA,FUZE TEA ICE LEMON TEA 500ML,0.5,1,1.95
LOTUS,FUZE TEA,FUZE TEA JASMINE GREEN TEA 500ML,0.5,1,1.95
LOTUS,FUZE TEA,FUZE TEA ICE PASSION FRUIT TEA 500ML,0.5,1,1.95
LOTUS,FUZE TEA,FUZE TEA MANGO CHAMOMILE 500ML,0.5,1,2.39
LOTUS,GENKI FOREST,GENKI FOREST SPKLG CALAMANSI JUC 480ML,0.48,1,3.97
LOTUS,GENKI FOREST,GENKI FOREST SPARKLING PEACH JUC 480ML,0.48,1,3.97
LOTUS,GENKI FOREST,GENKI FOREST SPARKLING LYCHEE JUC 480ML,0.48,1,3.97
LOTUS,GENKI FOREST,GENKI FOREST SPARKLING BLK GRAPE JUC 480ML,0.48,1,3.97
LOTUS,GLACEAU,GLACEAU VIT. WATER ESSENTIAL 500ML,0.5,1,3.9
LOTUS,GLACEAU,GLACEAU VIT. WATER RESTORE 500ML,0.5,1,3.9
LOTUS,GLACEAU,GLACEAU VIT. WATER TRIPLE X 500ML,0.5,1,3.9
LOTUS,GLUCERNA,GLUCERNA CHOCOLATE 800G,0.8,1,135.99
LOTUS,GOLD COIN,GOLD COIN KOPI TEH TARIK SWEETENED CREAMER 500G,0.5,1,3.09
LOTUS,GOLD COIN,GOLD COIN SWEETENED CREAMER 500G,0.5,1,3.49
LOTUS,GOODDAY,GOODDAY FULL CREAM UHT MILK 1L,1,1,5.95
LOTUS,GOODDAY,GOODDAY UHT MILK CHOCOLATE 1L,1,1,5.95
LOTUS,GOODDAY,GOODDAY UHT MILK STRAWBERRY 1L,1,1,6.6
LOTUS,GOODDAY,GOODDAY UHT MILK LOW FAT 1L,1,1,6.6
LOTUS,GOODDAY,GOODDAY UHT CHARGE (5+1) X 200ML,0.2,6,10.25
LOTUS,GOODDAY,GOODDAY UHT MILK LOW FAT 200MLX6,0.2,6,10.1
LOTUS,GOODDAY,GOODDAY UHT MILK STRAWBERRY 200MLX6,0.2,6,10.1
LOTUS,GOODDAY,GOODDAY CHOCOLATE UHT MILK 200MLX6,0.2,6,10.1
LOTUS,GOODDAY,GOODDAY CHOCOLATE UHT MILK 200MLX6,0.2,6,10.1
LOTUS,HAITAI,HAITAI BON BON GRAPE CAN JUICE 238ML,0.238,1,2.99
LOTUS,HALAGEL,HALAGEL PREMIX COFFEE ROCK SALT 25GX15S,0.025,15,14.49
LOTUS,HANG TUAH,HANG TUAH KOPI 2 IN 1 20X25G (B),0.025,20,9.69
LOTUS,HANG TUAH,HANG TUAH KOPI 2 IN 1 20X25G (H),0.025,20,9.69
LOTUS,HANG TUAH,HANG TUAH KOPI O 10GX20S,0.01,20,9.85
LOTUS,HANG TUAH,HANG TUAH COFFEE PWD MIX 1KG,1,1,19.19
LOTUS,HANG TUAH,HANG TUAH KOPI 3 IN 1 20GX20S,0.02,20,15.7
LOTUS,HANG TUAH,HANG TUAH SERBUK KOPI CAMPURAN(B)200G,0.2,1,4.4
LOTUS,HANG TUAH,HANG TUAH SERBUK KOPI CAMPURAN(H)200G,0.2,1,4.4
LOTUS,HARADA,HARADA JAPANESE TEA BAGS 2GX50S,0.002,50,24.99
LOTUS,HARADA,HARADA BROWN RICE N GREEN TEA 2GX50S,0.002,50,24.99
LOTUS,HATAKOSEN RAMUNE,HATAKOSEN RAMUNE SODA-STRAWBERRY 200ML,0.2,1,3.74
LOTUS,HATAKOSEN RAMUNE,HATAKOSEN RAMUNE SODA BLUEBERRY 200ML,0.2,1,3.74
LOTUS,HATAKOSEN RAMUNE,HATAKOSEN RAMUNE SODA ORANGE 200ML,0.2,1,3.74
LOTUS,HATAKOSEN RAMUNE,HATAKOSEN RAMUNE SODA L.MELON 200ML,0.2,1,3.74
LOTUS,HATAKOSEN RAMUNE,HATAKOSEN RAMUNE SODA YUZU 200ML,0.2,1,3.74
LOTUS,HATAKOSEN RAMUNE,HATAKOSEN RAMUNE SODA LYCHEE 200ML,0.2,1,3.74
LOTUS,HERSHEY,HERSHEY SOYFRESH CHOCOLATE 236MLX6,0.236,6,9.9
LOTUS,HERSHEY,HERSHEY SOYFRESH MOCHA 236MLX6,0.236,6,9.9
LOTUS,HERSHEY,HERSHEY SOYFRESH COOKIE N CREME 236MLX6,0.236,6,9.9
LOTUS,HERSHEY,HERSHEY SOYFRESH CHOCOLATE 946ML,0.946,1,5.69
LOTUS,HERSHEY,HERSHEY SOYFRESH MOCHA 946ML,0.946,1,5.69
LOTUS,HERSHEY,HERSHEY SOYFRESH COOKIE N CREME 946ML,0.946,1,5.69
LOTUS,HOMESOY,HOMESOY INSTANT ORIGINAL 10SX32G,0.032,10,8.85
LOTUS,HOMESOY,HOMESOY INSTANT MULTIGRAIN 10SX32G,0.032,10,8.85
LOTUS,HOMESOY,HOMESOY SOYA MILK 1L,1,1,3.29
LOTUS,HOMESOY,HOMESOY NO SUGAR ADDED 1L,1,1,3.29
LOTUS,HOMESOY,HOMESOY HONEY MELON SOYA MILK 1L,1,1,3.29
LOTUS,HOMESOY,HOMESOY BROWN SUGAR SOYA MILK 1L,1,1,3.29
LOTUS,HOMESOY,HOMESOY MULTIGRAIN 1L,1,1,4.99
LOTUS,HOMESOY,HOMESOY SOYA MILK 250MLX6,0.25,6,6.49
LOTUS,HOMESOY,HOMESOY BROWN SUGAR 250MLX6,0.25,6,6.49
LOTUS,HOMESOY,HOMESOY NO SUGAR ADDED 250MLX6,0.25,6,6.49
LOTUS,HOMESOY,HOMESOY MULTIGRAIN 250MLX6,0.25,6,8.89
LOTUS,HOMESOY,HOMESOY HONEY MELON 6X250ML,0.25,6,6.49
LOTUS,HOMESOY,HOMESOY NO SUGAR ADDED 3.0 946ML,0.946,1,4.69
LOTUS,HORLICKS,HORLICKS POUCH 1.65KG,1.65,1,46.79
LOTUS,HORLICKS,HORLICKS 3IN1 ORIGINAL 10SX28G,0.028,10,11.8
LOTUS,HORLICKS,HORLICKS 3IN1 CEREAL DRINKS 10SX32G,0.032,10,13.99
LOTUS,HORLICKS,HORLICKS MALT POUCH 360G,0.36,1,11.95
LOTUS,HORLICKS,HORLICKS ORIGINAL (REFILL PACK) 900G,0.9,1,21.99
LOTUS,HYH,HYH HERBAL DRINK (ORI)240MLX6,0.24,6,19.95
LOTUS,HYH,HYH HERBAL DRINK(SOURPLUM)240MLX6,0.24,6,19.95
LOTUS,ICHITAN,ICHITAN THAI BROWN SUGAR MILK 310ML,0.31,1,3.74
LOTUS,ICHITAN,ICHITAN THAI MILK COFFEE 310ML,0.31,1,3.74
LOTUS,ICHITAN,ICHITAN THAI MILK GREEN TEA 310ML,0.31,1,3.74
LOTUS,ICHITAN,ICHITAN THAI MILK TEA 310ML,0.31,1,3.74
LOTUS,IDEAL,IDEAL FULL CREAM EVAPORATED MILK 390G,0.39,1,4.9
LOTUS,IFOLIA,IFOLIA KOPI JANTAN 25GX15S,0.025,15,19.89
LOTUS,JALEN,JALEN KORDIAL ANGGUR 2L,2,1,12.9
LOTUS,JALEN,JALEN KORDIAL ROS 2L,2,1,12.9
LOTUS,JALEN,JALEN KORDIAL SARSI 2L,2,1,12.9
LOTUS,JALEN,JALEN KORDIAL BARLI 2L,2,1,12.9
LOTUS,JUS MASTER,JUS MASTER ASAM JAWA 320ML,0.32,1,1.29
LOTUS,JUS MASTER,JUS MASTER BLACKCURRANT 320ML,0.32,1,1.29
LOTUS,JUS MASTER,JUS MASTER CALAMANSI PLUM 320ML,0.32,1,1.29
LOTUS,KACIMA,KACIMA CAFE 25GX20S,0.025,20,16.65
LOTUS,KAPAL API,KAPAL API (HALUS) 180G,0.18,1,3.99
LOTUS,KAPAL API,KAPAL API INSTANT COFFEE (KASAR) 180G,0.18,1,3.99
LOTUS,KAPAL API,KAPAL API 3IN1 GULA MELAKA 18SX27G,0.027,18,12.99
LOTUS,KAPAL API,KAPAL API (HALUS) 500G,0.5,1,11.5
LOTUS,KARTA,KARTA COCONUT WATER ORIGINAL 1L,1,1,6.75
LOTUS,KARTA,KARTA COCONUT WATER ORIGINAL 330ML,0.33,1,2.05
LOTUS,KARTA,KARTA COCONUT WATER ORIGINAL 6X250ML,0.25,6,10.65
LOTUS,KICKAPOO,KICKAPOO JOY JUICE CARBONATED DRINK 1.5L,1.5,1,3.19
LOTUS,KICKAPOO,KICKAPOO JOY 320ML,0.32,1,1.55
LOTUS,KICKAPOO,KICKAPOO JOY 500ML,0.5,1,2.1
LOTUS,KLUANG,KLUANG WHITE COFFEE 3IN1 15SX40GM,0.04,15,14.5
LOTUS,KLUANG,KLUANG CAP TV KOPIO KOSONG 20SX10GM,0.01,20,7.2
LOTUS,KLUANG,KLUANG CAP TV KOPIO 2IN1 20SX23GM,0.023,20,9.8
LOTUS,KLUANG,KLUANG CAP TV KOPIO KOSONG 50SX10GM,0.01,50,14.5
LOTUS,KOPIKO,KOPIKO INSTANT BROWN COFFEE 22SX25G,0.025,22,13.69
LOTUS,KOPIKO,KOPIKO MACCHIATO 3 IN 1 24SX20G,0.02,24,11.5
LOTUS,KOPIKO,KOPIKO LOW ACID COFFEEMIX 24SX21G,0.021,24,13.69
LOTUS,KOPIKO,KOPIKO KAW 3 IN ONE 35SX20G,0.035,35,12.39
LOTUS,LE CAFE ROAST,LE CAFE ROAST MST PAPUA NEW GUINEA 100G,0.1,1,18.99
LOTUS,LE CAFE ROAST,LE CAFE ROAST MASTER BRAZIL 100G,0.1,1,18.99
LOTUS,LE CAFE ROAST,LE CAFE ROAST MASTER COLUMBIA 100G,0.1,1,18.99
LOTUS,LIPTON,LIPTON ICE TEA LMN 1.5L,1.5,1,4.6
LOTUS,LIPTON,LIPTON SERVICES TEABAGS 100S,,100,12.95
LOTUS,LIPTON,LIPTON MT MATCHA 12SX20G,0.02,12,18.69
LOTUS,LIPTON,LIPTON PACKET TEA 200G,0.2,1,6.49
LOTUS,LIPTON,LIPTON MT TEH TARIK HALIA 20GX12S,0.02,12,18.69
LOTUS,LIPTON,LIPTON MT SIGN CLASSIC 20GX12S,0.02,12,18.69
LOTUS,LIPTON,LIPTON MT TEH TARIK 20GX12S,0.02,12,18.69
LOTUS,LIPTON,LIPTON SERVICES TEABAGS 25S,,25,5.24
LOTUS,LIPTON,LIPTON YELLOW LABEL BLACK TEA 50 X 2G,0.002,50,10.25
LOTUS,LIPTON,LIPTON YELLOW LABEL TEA LEAVES 400G,0.4,1,11.75
LOTUS,LIPTON,LIPTON ICE TEA LMN 450ML,0.45,1,2.15
LOTUS,LIPTON,LIPTON ICE TEA GREEN LMN 450ML,0.45,1,2.55
LOTUS,LIPTON,LIPTON POTBAGS EXTRA STRONG P20,,20,3.49
LOTUS,LIPTON,LIPTON POTBAGS P40,,40,6.19
LOTUS,LIPTON,LIPTON POTBAGS EXTRA STRONG P40,,40,6.19
LOTUS,LIPTON,LIPTON POTBAGS P80,,80,10.45
LOTUS,LIPTON,LIPTON POTBAGS EXTRA STRONG X 80 POTBAGS,,80,10.45
LOTUS,LIVELY,LIVELY LEMON GUAR TEA 450ML MY,0.45,1,3.45
LOTUS,LOR ESSENSO,LOR ESSENSO COFFEE 2IN1 16GX20S,0.016,20,16.3
LOTUS,LOR ESSENSO,LOR ESSENSO COLOMBIAN MYSTIQUE 20SX16G,0.016,20,20.82
LOTUS,LOR ESSENSO,LOR ESSENSO BRAZILIAN ELEGANCE 20SX25G,0.025,20,20.82
LOTUS,LOR ESSENSO,LOR ESSENSO MG COLOMBIAN BLEND 20SX2G,0.002,20,10.5
LOTUS,LOR ESSENSO,L'OR ESSENSO COFFEE 3IN1 25GX20S,0.025,20,16.3
LOTUS,LOTUSS,LOTUSS DRINKING WATER 500ML X 12,0.5,12,5.59
LOTUS,LOTUSS,LOTUSS DRINKING WATER 1.5L,1.5,1,0.95
LOTUS,LOTUSS,LOTUSS MINERAL WATER 1.5L,1.5,1,1.09
LOTUS,LOTUSS,LOTUSS DRINKING WATER 1.5LX6,1.5,6,5.39
LOTUS,LOTUSS,LOTUSS MINERAL WATER 1.5LX6,1.5,6,6.39
LOTUS,LOTUSS,LOTUSS FULL CREAM MILK UHT 125MLX4,0.125,4,3.99
LOTUS,LOTUSS,LOTUSS CHOCOLATE MILK UHT 125MLX4,0.125,4,3.99
LOTUS,LOTUSS,LOTUSS 3IN1 CHAM 12Sx38G,0.038,12,10.99
LOTUS,LOTUSS,LOTUSS TEH TARIK KURANG MANIS 15SX30G,0.03,15,10.99
LOTUS,LOTUSS,LOTUSS TEH TARIK REGULAR 15SX35G,0.035,15,10.99
LOTUS,LOTUSS,LOTUSS WHITE COFFEE HAZELNUT 15SX35G,0.035,15,10.99
LOTUS,LOTUSS,LOTUSS WHITE COFFEE ORIGINAL 15SX35G,0.035,15,10.99
LOTUS,LOTUSS,LOTUSS MILD 3 IN 1 COFFEE 25 X 18G,0.018,25,9.99
LOTUS,LOTUSS,LOTUSS CHOCOMALT 3IN1 ORI. 18Sx30G,0.03,18,11.69
LOTUS,LOTUSS,LOTUSS CHOCOMALT 1KG,1,1,13.99
LOTUS,LOTUSS,LOTUSS MALTED DRINK 1KG,1,1,17.79
LOTUS,LOTUSS,LOTUSS FULL CREAM MILK UHT 1L,1,1,4.99
LOTUS,LOTUSS,LOTUSS CHOCOLATE MILK UHT 1L,1,1,4.99
LOTUS,LOTUSS,LOTUSS FULL CREAM MILK UHT 1L,1,1,4.99
LOTUS,LOTUSS,LOTUSS CHOCOLATE MILK UHT 1L,1,1,4.99
LOTUS,LOTUSS,LOTUSS STRAWBERRY MILK UHT 1L,1,1,4.99
LOTUS,LOTUSS,LOTUSS CHOCOMALT 200G,0.2,1,3.99
LOTUS,LOTUSS,LOTUS'S RICH 3 IN 1 COFFEE 25 STICKS X 20G,0.02,25,9.99
LOTUS,LOTUSS,LOTUS'S KOPI-O WITHOUT SUGAR 20SX10G,0.01,20,6.99
LOTUS,LOTUSS,LOTUSS KOPI-O WITH SUGAR 20SX15G,0.015,20,7.65
LOTUS,LOTUSS,LOTUSS 3IN1 PREMIX COFFEE REGULAR 25SX20G,0.02,25,9.99
LOTUS,LOTUSS,LOTUSS TEA POT BAG KAW 28SX3G,0.003,28,3.99
LOTUS,LOTUSS,LOTUSS CHOCOMALT 2KG,2,1,24.99
LOTUS,LOTUSS,LOTUS'S SARSI CORDIAL 2L,2,1,9.85
LOTUS,LOTUSS,LOTUSS ORANGE CORDIAL 2L,2,1,9.85
LOTUS,LOTUSS,LOTUSS GRAPE CORDIAL 2L,2,1,9.85
LOTUS,LOTUSS,LOTUSS LYCHEE CORDIAL 2L,2,1,9.85
LOTUS,LOTUSS,LOTUSS PINK GUAVA CORDIAL 2L,2,1,9.85
LOTUS,LOTUSS,LOTUSS EVAPORATED CREAMER 390G,0.39,1,2.99
LOTUS,LOTUSS,LOTUSS 3IN1 CHOCOMALT 3SX30G,0.03,3,2.99
LOTUS,LOTUSS,LOTUSS TEH TARIK REGULAR 3SX35G,0.035,3,2.99
LOTUS,LOTUSS,LOTUSS MALTED DRINK 400G,0.4,1,8.19
LOTUS,LOTUSS,LOTUSS TEA POT BAG 40SX2G,0.002,40,3.99
LOTUS,LOTUSS,LOTUSS NON-DAIRY CREAMER 450G,0.45,1,4.99
LOTUS,LOTUSS,LOTUSS DRINKING WATER 5.5L,5.5,1,4.99
LOTUS,LOTUSS,LOTUSS MINERAL WATER 5.5L,5.5,1,5.49
LOTUS,LOTUSS,LOTUSS SWEETENED CREAMER 500G,0.5,1,2.95
LOTUS,LOTUSS,LOTUSS DRINKING WATER 500ML,0.5,1,0.55
LOTUS,LOTUSS,LOTUSS HOJICHA TEA BAG 50SX1.5G,0.0015,50,18.99
LOTUS,LOTUSS,LOTUSS SENCHA TEA BAG 50SX2G,0.002,50,18.99
LOTUS,LOTUSS,LOTUSS GENMAICHA TEA BAG 50SX2G,0.002,50,18.99
LOTUS,LOTUSS,LOTUSS CORDIAL SARSAPILLA 5L,5,1,18.55
LOTUS,LOTUSS,LOTUSS CORDIAL ROSE 5L,5,1,18.55
LOTUS,LOTUSS,LOTUSS CORDIAL ORANGE 5L,5,1,18.55
LOTUS,LOTUSS,LOTUSS KOPI-O WITHOUT SUGAR 5SX10G,0.01,5,2.99
LOTUS,LOTUSS,LOTUSS KOPI-O WITH SUGAR 5SX15G,0.015,5,2.99
LOTUS,LOTUSS,LOTUSS 3IN1 PREMIX COFFEE REGLR 5SX18G,0.018,5,2.99
LOTUS,LOTUSS,LOTUSS MINERAL WATER 600ML,0.6,1,0.65
LOTUS,MARIGOLD,MARIGOLD UHT APPLE DRINK 1L,1,1,3.5
LOTUS,MARIGOLD,MARIGOLD UHT MANGO DRINK 1L,1,1,3.5
LOTUS,MARIGOLD,MARIGOLD ORANGE DRINK 1L,1,1,3.5
LOTUS,MARIGOLD,MARIGOLD LOW FAT UHT MILK 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD CHOCOLATE UHT MILK 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD FULL CREAM UHT MILK 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD 100% PURPLE VEGGIE JUICE 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD TROPICAL FRT 100% JUICE 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD UHT 100% ORANGE JUICE 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD UHT 100% APP JUICE 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD UHT 100% CARROT MIX JUICE 1L,1,1,7.25
LOTUS,MARIGOLD,MARIGOLD UHT PEAR MIXBERRIES JUICE 1L,1,1,7.25
LOTUS,MARIGOLD,M/GOLD UHT ORANGE 250MLX6,0.25,6,5.75
LOTUS,MARIGOLD,M/GOLD UHT GRAPE 250MLX6,0.25,6,6.95
LOTUS,MARIGOLD,MARIGOLD UHT MANGO DRINK 250MLX6,0.25,6,5.75
LOTUS,MARIGOLD,MARIGOLD UHT APPLE DRINK 250MLX6,0.25,6,6.95
LOTUS,MARIGOLD,MARIGOLD EVAPORATED CREAMER 390G,0.39,1,2.79
LOTUS,MARIGOLD,MARIGOLD CHEF'S SELECTION EVAPORATED CREAMER 390G,0.39,1,3.79
LOTUS,MASTER KANG,MASTER KANG HONEY PAMELO 500ML,0.5,1,2.69
LOTUS,MASTER KANG,MASTER KANG JASMINE PAMELO TEA 500ML,0.5,1,2.69
LOTUS,MASTER KANG,MASTER KANG WTR CHESTNUT+SGR CANE 500ML,0.5,1,2.69
LOTUS,MASTER KANG,MASTER KANG HONEY PAMELO 500ML,0.5,1,2.69
LOTUS,MASTER KANG,MASTER KANG HONEY JASMINE TEA 500ML,0.5,1,2.69
LOTUS,MASTER KANG,MASTER KANG JASMINE TEA 500ML,0.5,1,2.69
LOTUS,MASTER KANG,MASTER KANG ICE LEMON TEA 500ML,0.5,1,2.69
LOTUS,MASTER KANG,MASTER KANG ROCK SUGAR PEAR 500ML,0.5,1,2.69
LOTUS,MILO,MILO ACTIGEN-E CAN (6X240ML),0.24,6,12.99
LOTUS,MILO,MILO 1.4KG,1.4,1,39.99
LOTUS,MILO,MILO ACTIV GO CEREAL 10X36G,0.036,10,13.99
LOTUS,MILO,MILO ACTIV GO CEREAL 10X36G,0.036,10,13.99
LOTUS,MILO,MILO UHT MILK 125MLX4,0.125,4,4.75
LOTUS,MILO,MILO ACTIV GO ORIGINAL 18SX30G,0.03,18,13.99
LOTUS,MILO,MILO FUZE 3IN1 18X33G,0.033,18,13.99
LOTUS,MILO,MILO ACTIV-GO CHOCOLATE MALT DRINK (SOFTPACK) 1KG,1,1,17.49
LOTUS,MILO,MILO READY TO DRINK 1L,1,1,5.99
LOTUS,MILO,MILO SOFTPACK 200G,0.2,1,5.29
LOTUS,MILO,NESTL̩ MILO ACTIV-GO (5+1) X 200ML,0.2,6,10.35
LOTUS,MILO,MILO ACT-GO UHT 200MLX6,0.2,6,10.35
LOTUS,MILO,MILO (SOFTPACK) 2KG,2,1,38.5
LOTUS,MILO,MILO FUZE 3IN1 30SX33G,0.033,30,22.9
LOTUS,MILO,MILO FUZE 3IN1 18X33G FOC 3S,0.033,18,13.99
LOTUS,MILO,MILO (SOFTPACK) 400G,0.4,1,9.99
LOTUS,MILO,MILO ACTIV-GO NUTRIPLUZ UHT 6x200ML,0.2,6,12.49
LOTUS,MILO,MILO FUZE 3IN1 8SX33G,0.033,8,8.99
LOTUS,MILO,MILO HI FIBRE 900G,0.9,1,26.99
LOTUS,MINUTE MAID,MINUTE MAID PULPY TROPICAL 1.5L,1.5,1,4.1
LOTUS,MINUTE MAID,MINUTE MAID PUPLY ORANGE 1.5L,1.5,1,4.1
LOTUS,MINUTE MAID,MINUTE MAID PUPLY TROPICAL 300ML,0.3,1,1.99
LOTUS,MINUTE MAID,MINUTE MAID PUPLY ORANGE 300ML,0.3,1,1.99
LOTUS,MIRINDA,MIRINDA ORANGE BTL 1.5L,1.5,1,3.15
LOTUS,MIRINDA,MIRINDA STRAWBERRY FLAVOURED SOFT DRINK BOTTLE 1.5L,1.5,1,3.15
LOTUS,MISTER COFFEE,MISTER COFFEE BAGBREW ARABICA 10GX15S,0.01,15,15.99
LOTUS,MISTER COFFEE,MISTER COFFEE DRIPBREW ARABICA 10GX15S,0.01,15,18
LOTUS,MISTER COFFEE,MISTER COFFEE KOPI O SPECIAL 15GX15S,0.015,15,9.9
LOTUS,MOCCONA,MOCCONA CLASSIC DARK ROASTED 200G,0.2,1,43.66
LOTUS,MOCCONA,MOCCONA CLASSIC MEDIUM ROASTED 200G,0.2,1,43.66
LOTUS,MOCCONA,MOCCONA ESPRESSO STYLE 200G,0.2,1,43.66
LOTUS,MOMA WATER,MOMA WATER PREMIUM BLUE 1.5L,1.5,1,2.35
LOTUS,MOMA WATER,MOMA WATER PREMIUM BLUE 500ML,0.5,1,1.1
LOTUS,MONSTER,MONSTER ENERGY 355ML,0.355,1,5.49
LOTUS,MONSTER,MONSTER ULTRA 355ML,0.355,1,5.49
LOTUS,MONSTER,MONSTER PIPELINE PUNCH 355ML,0.355,1,5.49
LOTUS,MONSTER,MONSTER ENERGY 355ML 4S,0.355,4,22
LOTUS,MOSHA,MOSHA CHOCOLATE MALT 1KG,1,1,15.35
LOTUS,MOSHA,MOSHA CHOCOLATE MALT 3 IN 1 33GX10S,0.033,10,7.89
LOTUS,MOUNTAIN DEW,MOUNTAIN DEW PITCH BLACK 1.5L,1.5,1,4.2
LOTUS,MOUNTAIN DEW,MOUNTAIN DEW 1.5L,1.5,1,4.2
LOTUS,MUG,MUG SARSAPARILLA PET 1.5L,1.5,1,3.9
LOTUS,MUNIRA,MUNIRA GUAVA DRINK 170ML,0.17,1,1.49
LOTUS,MUNIRA,MUNIRA MANGO DRINK 170ML,0.17,1,1.49
LOTUS,MUNIRA,MUNIRA LYCHEE DRINK 170ML,0.17,1,1.49
LOTUS,MUNIRA,MUNIRA BLACKCURRANT DRINK 170ML,0.17,1,1.49
LOTUS,MUNIRA,MUNIRA APPLE DRINK 170ML,0.17,1,1.49
LOTUS,NESCAFE,NESCAFE LATTE CAN (6X240ML),0.24,6,12.99
LOTUS,NESCAFE,NESCAFE MOCHA CAN (6X240ML),0.24,6,12.99
LOTUS,NESCAFE,NESCAFE CLASSIC REFILL PACK 100G,0.1,1,12.29
LOTUS,NESCAFE,NESCAFE CLASSIC JAR 100G,0.1,1,14.35
LOTUS,NESCAFE,NESCAFE GOLD DECAF 100G,0.1,1,23.99
LOTUS,NESCAFE,NESCAFE GOLD BLEND 100G,0.1,1,23.99
LOTUS,NESCAFE,NESCAFE GOLD ORIGINS ALTA RICA 100G,0.1,1,26.75
LOTUS,NESCAFE,NESCAFE GOLD ORIGINS CAP COLOMBIA 100G,0.1,1,26.75
LOTUS,NESCAFE,NESCAFE DOLCE GUSTO AMERICANO 128G,0.128,1,34.75
LOTUS,NESCAFE,NESCAFE GOLD CREAMY LATTE 12X31G,0.031,12,14.49
LOTUS,NESCAFE,NESCAFE GOLD DARK LATTE 12X34G,0.034,12,14.49
LOTUS,NESCAFE,NESCAFE DOLCE GUSTO FLAT WHITE 144G,0.144,1,34.75
LOTUS,NESCAFE,NESCAFE LATTE MILK TEA 15SX25G,0.025,15,10.39
LOTUS,NESCAFE,NESCAFE LATTE MOCHA 15SX31G,0.031,15,11.99
LOTUS,NESCAFE,NESCAFE GOLD AMERICANO 15X11G,0.011,15,13.95
LOTUS,NESCAFE,NESCAFE GOLD FLAT WHITE 15X24G,0.024,15,16.75
LOTUS,NESCAFE,NESCAFE DLC GST GRANDE INTENSO 16CAPx132.8G,0.1328,16,34.75
LOTUS,NESCAFE,NESCAFE GOLD REFILL PACK 170G,0.17,1,29.7
LOTUS,NESCAFE,NESCAFE DOLCE GUSTO LATTE MACHIATO 194G,0.194,1,34.75
LOTUS,NESCAFE,NESCAFE CLASSIC DARK ROAST 200G,0.2,1,21.99
LOTUS,NESCAFE,NESCAFE CLASSIC REFILL PACK 200G,0.2,1,21.99
