Outlet,Brand,Products Name,Volume/Weight,Satchet/Units,Price in RM
LOTUS,ALICAFE,ALICAFE TONGKAT ALI GINSENG ORI 250ML,0.25,1,2.59
LOTUS,ALICAFE,ALICAFE TONGKAT ALI GINSENG ORI 250MLX6,0.25,6,20.5
LOTUS,ALICAFE,ALICAFE TA KARAMEL 36GX15S,0.036,15,17.5
LOTUS,ALICAFE,ALICAFE TA LEBIH PEKAT 36GX15S,0.036,15,17.5
LOTUS,ALPINE,ALPINE NAT MINERAL WATER 1.5L,1.5,1,1.99
LOTUS,ALPINE,ALPINE MINERAL WATER 5.5L,5.5,1,7.8
LOTUS,ALPINE,ALPINE NAT MINERAL WATER 600ML,0.6,1,1.25
LOTUS,ALPINE,ALPINE SPORT NATURAL MINERAL WATER 750ML,0.75,1,2.59
LOTUS,AMEEN,AMEEN CORN 395ML,0.395,1,3.49
LOTUS,AMEEN,AMEEN ROSE 395ML,0.395,1,3.49
LOTUS,AMEEN,AMEEN LYCHEE 395ML,0.395,1,3.49
LOTUS,AMEEN,AMEEN GRAPE 395ML,0.395,1,3.49
LOTUS,AMEEN,AMEEN SARSI 395ML,0.395,1,3.49
LOTUS,ANGLOMAC,ANGLOMAC SKIM MILK POWDER 1KG,1,1,29.99
LOTUS,ANLENE,ANLENE ACTIFIT 3X 1KG,1,1,31.5
LOTUS,ANLENE,ANLENE GOLD 5X 1KG,1,1,37.9
LOTUS,ANLENE,ANLENE UHT LOW FAT 1L,1,1,7.25
LOTUS,ANLENE,ANLENE UHT LOW FAT 4X180ML,0.18,4,7.4
LOTUS,ANLENE,ANLENE UHT CHOC 4X180ML,0.18,4,7.4
LOTUS,ANLENE,ANLENE ACTIFIT 3X 600G,0.6,3,18.9
LOTUS,ANLENE,ANLENE ACTIFIT CHOCOLATE 3X 600G,0.6,3,18.9
LOTUS,ANLENE,ANLENE GOLD 5X 600G,0.6,5,23.9
LOTUS,ANLENE,ANLENE TOTAL 10 800G,0.8,1,54.9
LOTUS,ANRAMIN,ANRAMIN SUSU KAMBING ASLI 16S X 23G,0.023,16,27.99
LOTUS,ANRAMIN,ANRAMIN GOAT MILK WITH DATES 16S X 25G,0.025,16,24.99
LOTUS,ANRAMIN,ANRAMIN GOAT MILK WITH COFFEE 16S X 25G,0.025,16,24.99
LOTUS,APACHE,APACHE WHITE COFFEE 40GX15S,0.04,15,18.45
LOTUS,APACHE,APACHE IPOH PRE BLACK WHITE COFF 40GX15S,0.04,15,18.45
LOTUS,ATH,ATH AYATAKA GREEN TEA 1.5L,1.5,1,4.69
LOTUS,ATH,ATH AYATAKA GREEN TEA 300MLX4S,0.3,4,8.5
LOTUS,ATH,ATH AYATAKA GREEN TEA 500ML,0.5,1,2.7
LOTUS,ATH,ATH DA HONG PAO OOLONG TEA 500ML,0.5,1,2.7
LOTUS,AUTHENTIC TEA,AUTHENTIC TEA HOUSE OOLONG TEA 1.5L,1.5,1,5.7
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND CHOC MILK 180ML,0.18,1,3.74
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND LATTE MILK 180ML,0.18,1,3.74
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND MATCHA MILK 180ML,0.18,1,3.74
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND ORIGINAL MILK 180ML,0.18,1,3.74
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALM UNSWTND ORI MILK 180ML,0.18,1,3.74
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND VANILLA MILK 180ML,0.18,1,3.74
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND UNSWT ORI MILK 946ML,0.946,1,17.99
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND ORIGINAL MILK 946ML,0.946,1,17.99
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND MATCHA MILK 946ML,0.946,1,17.99
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND VANILLA MILK 946ML,0.946,1,17.99
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND CHOCOLATE MILK 946ML,0.946,1,17.99
LOTUS,BLUE DIAMOND,BLUE DIAMOND ALMOND LATTE MILK 946ML,0.946,1,17.99
LOTUS,BLUE DIAMOND,BLUE DIAMOND BARISTA ALM UNSWT MILK 946ML,0.946,1,18.99
LOTUS,BOH,BOH DOUBLE CHAMBER TEABAGS 100S,,100,13.5
LOTUS,BOH,BOH TEH TARIK KURANG MANIS HALIA 12SX26G,0.026,12,14.3
LOTUS,BOH,BOH 3IN1 TEH TARIK KURANG MANIS 12SX27G,0.027,12,14.3
LOTUS,BOH,BOH 2IN1 TEA 20X11.5G,0.0115,20,10.99
LOTUS,BOH,BOH GREEN TEA LATTE 27GX12S,0.027,12,14.3
LOTUS,BOH,BOH 3 IN 1 INSTANT TEA MIX 30S,,30,13.95
LOTUS,BOH,BOH POTBAGS 40S,,40,5.3
LOTUS,BOH,BOH TEA LEAVE 500G,0.5,1,10.99
LOTUS,BOH,BOH TEA POTBAGS 80S,,80,8.79
LOTUS,BONCAFE,BONCAFE COLOMBIAN INSTANT COFFEE 100G,0.1,1,27.49
LOTUS,BONCAFE,BONCAFE COLUMBIAN DECAFFEINATED FREEZE 100G,0.1,1,32.89
LOTUS,BONCAFE,BONCAFE FILTER BAGS 1X4,,4,10.39
LOTUS,BONCAFE,BONCAFE ALL DAY COFFEE POWDER 200G,0.2,1,26.35
LOTUS,BONCAFE,BONCAFE EXPRESSO COFFEE POWDER 200G,0.2,1,26.35
LOTUS,BONCAFE,BONCAFE BRAZILIAN INSTANT COFFEE 200G,0.2,1,38.09
LOTUS,BUNDABERG,BUNDABERG PASSION FRUIT 375MLX4,0.375,4,20.85
LOTUS,BUNDABERG,BUNDABERG ROOT BEER 375MLX4,0.375,4,20.85
LOTUS,BUNDABERG,BUNDABERG TRADITIONAL LEMONADE 375MLX4,0.375,4,20.9
LOTUS,BUNDABERG,BUNDABERG GINGER BEER 375MLX4,0.375,4,20.9
LOTUS,CACTUS,CACTUS MINERAL WATER 350MLX12,0.35,12,6.5
LOTUS,CACTUS,CACTUS MINERAL WATER 5.5L,5.5,1,7.2
LOTUS,CACTUS,CACTUS MINERAL WATER 500MLX12,0.5,12,8.75
LOTUS,CACTUS,CACTUS MINERAL WATER 9.5L,9.5,1,9.85
LOTUS,CAP MASJID,CAP MASJID SERBUK TEH CAMPURAN 900G,0.9,1,14.9
LOTUS,CARNATION,CARNATION EVAPORATION CREAMER 390G,0.39,1,3.75
LOTUS,CC,CC LEMON 320MLX4,0.32,4,9.9
LOTUS,CHA PAI,CHA PAI LEMON PU ER TEA 500ML,0.5,1,2.99
LOTUS,CHA PAI,CHA PAI OOLONG PEACH TEA 500ML,0.5,1,2.99
LOTUS,CHA PAI,CHA PAI ICED LEMON TEA 500ML,0.5,1,2.99
LOTUS,CHA PAI,CHA PAI GRAPE OOLONG TEA 500ML,0.5,1,2.99
LOTUS,CHA PAI,CHA PAI JASMINE PAMELO TEA 500ML,0.5,1,2.99
LOTUS,CHA PAI,CHA PAI PAMELO GREEN TEA 500ML,0.5,1,2.99
LOTUS,CHA TRA MUE,CHA TRA MUE THAI GREEN MILK TEA 200G,0.2,1,12.9
LOTUS,CHA TRA MUE,CHA TRA MUE THAI COFFEE 400G,0.4,1,8.9
LOTUS,CHA TRA MUE,CHA TRA MUE THAI MILK TEA 400G,0.4,1,12.9
LOTUS,CHUPA CHUPS,CHUPA CHUPS GRAPE SPARKLING 345ML,0.345,1,3.74
LOTUS,CHUPA CHUPS,CHUPA CHUPS ORANGE SPARKLING 345ML,0.345,1,3.74
LOTUS,CHUPA CHUPS,CHUPA CHUPS STRAWBERRY SPARKLING 345ML,0.345,1,3.74
LOTUS,COCA-COLA,COCA-COLA VANILLA 1.5L,1.5,1,2.89
LOTUS,COCA-COLA,COCA-COLA VANILLA 1.5L,1.5,1,2.89
LOTUS,COCA-COLA,COKE ZERO SUGAR 1.5L,1.5,1,2.89
LOTUS,COCA-COLA,COKE ZERO SUGAR 1.5L,1.5,1,2.89
LOTUS,COCA-COLA,COKE MINI 180MLX6,0.18,6,10.8
LOTUS,COCA-COLA,COCA-COLA RASA ASLI CAN 320ML,0.32,1,1.7
LOTUS,COCA-COLA,COKE VANILLA 320ML,0.32,1,2.3
LOTUS,COCA-COLA,COKE LESS CALORIES RASA ASLI 320MLX24,0.32,24,46.9
LOTUS,COCA-COLA,COCA-COLA RASA ASLI 320MLX4,0.32,4,6.95
LOTUS,COCA-COLA,COKE ZERO 320MLX4,0.32,4,6.95
LOTUS,COCA-COLA,COCA-COLA RASA ASLI 500ML,0.5,1,2.45
LOTUS,COCA-COLA,COKE ZERO 500ML,0.5,1,2.5
LOTUS,COFFEE,COFFEE MATE 450G FOC 50G,0.5,1,9.4
LOTUS,COOL RHINO,COOL RHINO 350ML,0.35,1,2.69
LOTUS,COOL RHINO,COOL RHINO O2 350ML,0.35,1,2.9
LOTUS,COOL RHINO,COOL RHINO 350MLX4,0.35,4,11.39
LOTUS,COOL RHINO,COOL RHINO O2 350MLX4,0.35,4,12.79
LOTUS,DAIRY CHAMP,DAIRY CHAMP EVAPORATED CREAMER 390G,0.39,1,3.1
LOTUS,DAIRY CHAMP,DAIRY CHAMP SWEETENED CREAMER 500G,0.5,1,3.49
LOTUS,DATE CROWN,DATE CROWN DATE SYRUP 400G,0.4,1,9.99
LOTUS,DAVIDOFF,DAVIDOFF CAFE-RICH AROMA 100G,0.1,1,30.99
LOTUS,DAVIDOFF,DAVIDOFF CAFE-FINE AROMA 100G,0.1,1,30.99
LOTUS,DAVIDOFF,DAVIDOFF CAFE-ESPRESSO 100G,0.1,1,30.99
LOTUS,DESA,DESA DRINKING WATER 1.5L,1.5,1,1.25
LOTUS,DESA,DESA DRINKING WATER 5.5L,5.5,1,6.99
LOTUS,DESA,DESA DRINKING WATER 500ML,0.5,1,0.75
LOTUS,DILMAH,DILMAH EXCPT ROSE W FRCH VANILLA 20SX2G,0.002,20,14.5
LOTUS,DILMAH,DILMAH EXCPT FRAGANT JASMINE GT 20SX2G,0.002,20,14.5
LOTUS,DILMAH,DILMAH EXCPT BERRY SENSATION 20SX2G,0.002,20,14.55
LOTUS,DILMAH,DILMAH EXCPT ELEGANT EARL GREY 20SX2G,0.002,20,14.55
LOTUS,DILMAH,DILMAH EXCPT GENTLE MINTY GT 20SX2G,0.002,20,14.55
LOTUS,DILMAH,DILMAH CEYLON GT LEMONGRASS 20SX2G,0.002,20,14.85
LOTUS,DILMAH,DILMAH CEYLON GT CHAMOMILE 20SX2G,0.002,20,14.85
LOTUS,DILMAH,DILMAH PURE CAMOMILE 20X1.5G,0.0015,20,12.99
LOTUS,DILMAH,DILMAH PURE PEPPERMINT 20X1.5G,0.0015,20,12.99
LOTUS,DILMAH,DILMAH PURE CEYLON GREEN TEA WITH GINGER 20 TEA BAGS 40G,0.04,20,14.85
LOTUS,DKE,DKE PURE GOAT MILK POWDER 18GX15S,0.018,15,23.52
LOTUS,DL UHT,DL UHT MILKY MARVEL CHOCOLATE 125MLX4,0.125,4,4.99
LOTUS,DL UHT,DL UHT MILKY MARVEL STRAWBERRY 125MLX4,0.125,4,4.99
LOTUS,DOLCE GUSTO,DOLCE GUSTO CAFE AU LAIT 160G,0.16,1,33.1
LOTUS,DOLE,DOLE PINEAPPLE TROPICAL JUICE 240ML,0.24,1,3.9
LOTUS,DOLE,DOLE PINEAPPLE MANGO JUICE 240ML,0.24,1,3.9
LOTUS,DOLE,DOLE PINEAPPLE ORANGE JUICE 240ML,0.24,1,3.9
LOTUS,DOLE,DOLE PINEAPPLE ORANGE BANANA JUICE 240ML,0.24,1,3.9
LOTUS,DOLE,DOLE 100% PINEAPPLE JUICE 240ML,0.24,1,3.9
LOTUS,DONGA,DONGA APPLE DEMISODA 250ML,0.25,1,2.99
