Products Name,Price in RM
AIK CHEONG INSTANT COFFEEMIX 3 IN 1 18GX25,9.45
FERNLEAF FAMILY MILK 300G,9.50
DUTCH LADY UHT CHOCOLATE MILK 200ML X 6S,9.60
D/LADY UHT MILK COFFEE 200MLX6,9.60
DUTCH LADY FULL CREAM UHT MILK 200MLX6,9.60
DUTCH LADY LOW FAT UHT MILK 200MLX6,9.60
DUTCH LADY UHT CHOCOLATE MILK 200ML X 6S,9.60
DUTCH LADY UHT BANANA FLAVOURED MILK 200MLX6,9.65
HANG TUAH KOPI 2 IN 1 20X25G (H),9.69
HANG TUAH KOPI 2 IN 1 20X25G (B),9.69
100 PLUS ISOTONIC DRINK 6X325ML,9.79
KLUANG CAP TV KOPIO 2IN1 20SX23GM,9.80
LOTUSS ORANGE CORDIAL 2L,9.85
LOTUSS GRAPE CORDIAL 2L,9.85
LOTUS'S SARSI CORDIAL 2L,9.85
LOTUSS LYCHEE CORDIAL 2L,9.85
LOTUSS PINK GUAVA CORDIAL 2L,9.85
HANG TUAH KOPI O 10GX20S,9.85
CACTUS MINERAL WATER 9.5L,9.85
MISTER COFFEE KOPI O SPECIAL 15GX15S,9.90
NESTLE OMEGA PLUS 150G,9.90
SPRITZER MINERAL WATER 9.5L,9.90
HERSHEY SOYFRESH CHOCOLATE 236MLX6,9.90
HERSHEY SOYFRESH MOCHA 236MLX6,9.90
HERSHEY SOYFRESH COOKIE N CREME 236MLX6,9.90
WONDA COFFEE ORIGINAL 4X240ML,9.90
WONDA COFFEE MOCHA 4X240ML,9.90
WONDA COFFEE LATTE 4X240ML,9.90
WONDA COFFEE KOPI TARIK 4X240ML,9.90
CC LEMON 320MLX4,9.90
WONDA COFFEE EXTRA PRESSO 4X240ML,9.90
FARM FRESH UHT CHOCOLATE MILK 200MLX4,9.95
FARM FRESH UHT YOG DRK M/BERRIES 200MLX4,9.95
SIN SING COFFEE PWD 500G (H),9.95
SMOOTHIES CO MANGGO PASSION 225G,9.99
SMOOTHIES CO SWEET DRAGON 225G,9.99
SMOOTHIES CO SKINNY GREEN 225G,9.99
DATE CROWN DATE SYRUP 400G,9.99
AHMAD TEA LONDON FRUIT & HERB 20 FOIL WRAPPED TEA BAGS 20 X 2G,9.99
MILO (SOFTPACK) 400G,9.99
NUTRIGOLD RICH 3 IN 1 INSTANT PREMIX COFFEE 25 STICKS X 20G,9.99
NUTRIGOLD 3 IN 1 COFFEE REGULAR 20GX30S,9.99
LOTUS'S RICH 3 IN 1 COFFEE 25 STICKS X 20G,9.99
LOTUSS 3IN1 PREMIX COFFEE REGULAR 25SX20G,9.99
LOTUSS MILD 3 IN 1 COFFEE 25 X 18G,9.99
GOODDAY UHT MILK LOW FAT 200MLX6,10.10
GOODDAY UHT MILK STRAWBERRY 200MLX6,10.10
GOODDAY CHOCOLATE UHT MILK 200MLX6,10.10
GOODDAY CHOCOLATE UHT MILK 200MLX6,10.10
GOODDAY UHT CHARGE (5+1) X 200ML,10.25
LIPTON YELLOW LABEL BLACK TEA 50 X 2G,10.25
MILO ACT-GO UHT 200MLX6,10.35
NESTLÃ© MILO ACTIV-GO (5+1) X 200ML,10.35
BONCAFE FILTER BAGS 1X4,10.39
NESCAFE LATTE MILK TEA 15SX25G,10.39
LIPTON POTBAGS P80,10.45
LIPTON POTBAGS EXTRA STRONG X 80 POTBAGS,10.45
P/SALUTE WHITE GRAPE DRINK 750ML,10.49
P/SALUTE RED GRAPE DRINK 750ML,10.49
LOR ESSENSO MG COLOMBIAN BLEND 20SX2G,10.50
EVIAN MINERAL WATER 1.5L,10.60
KARTA COCONUT WATER ORIGINAL 6X250ML,10.65
COKE MINI 180MLX6,10.80
NUTRIFRES BLACKCURRANT 1000GM,10.89
NUTRIFRES STRAWBERRY 1000GM,10.89
NUTRIFRES SOURSOP 1000GM,10.89
NUTRIFRES ORANGE 1000GM,10.89
NUTRIFRES KIWI FRUIT 1000GM,10.89
NUTRIFRES WHEATGRASS 1000GM,10.89
NUTRIFRES SOUR PLUM 1000GM,10.89
NUTRIFRES LEMON 1000GM,10.89
NUTRIFRES TAMARIND 1000GM,10.89
NUTRIFRES SOUR PLUM CALAMANSI 1000GM,10.89
NUTRIFRES MANGO 1000GM,10.89
LOTUSS TEH TARIK REGULAR 15SX35G,10.99
VALUE TEA DUST 900G,10.99
BOH 2IN1 TEA 20X11.5G,10.99
SIN SING COFFEE O BAG 2 IN 1 17GX20S,10.99
WONDA 3 IN 1 KOPI TARIK 15 STICK PACKS X 25G,10.99
BOH TEA LEAVE 500G,10.99
LOTUSS TEH TARIK KURANG MANIS 15SX30G,10.99
UFC VELVET CHOCOLATE COCONUT MILK 1L,10.99
LOTUSS 3IN1 CHAM 12Sx38G,10.99
SUN UP MANGO CONCENTRATE 850ML,10.99
SUN UP ORANGE CONCENTRATE 850ML,10.99
SUN UP BLACKCURRANT BASE CONCENTRATE 850ML,10.99
SUN UP PINK GUAVA CONCENT 850ML,10.99
LOTUSS WHITE COFFEE HAZELNUT 15SX35G,10.99
LOTUSS WHITE COFFEE ORIGINAL 15SX35G,10.99
AHMAD TEA ENG BREAKFAST TAGLESS 40S,11.15
COOL RHINO 350MLX4,11.39
UFC VELVET OAT MILK BARISTA 1L,11.49
UFC VELVET ALMOND MILK ORIGINAL 1L,11.49
UFC VELVET OAT MILK BARISTA 1L,11.49
UFC VELVET ALMOND MILK ORIGINAL 1L,11.49
AHMAD TEA F/FLAV LMN+LIME 20S,11.50
AHMAD TEA F/FLAV MANGO 20S,11.50
AHMAD TEA FLAVOURED PEACH&PASSION FRUIT 20S,11.50
AHMAD TEA FLAVOURED STRAWBERRY 20S,11.50
KOPIKO MACCHIATO 3 IN 1 24SX20G,11.50
KAPAL API (HALUS) 500G,11.50
FRENCHE ROAST IDG SLT CRM LATTE 20SX23G,11.50
FRENCHE ROAST IDG TIRAMISU LATTE 18SX23G,11.50
FRENCHÉ ROAST FREEZE DRIED MICROGROUND PREMIX COFFEE SIGNATURE BLEND 28X19G,11.50
LOTUSS CHOCOMALT 3IN1 ORI. 18Sx30G,11.69
LIPTON YELLOW LABEL TEA LEAVES 400G,11.75
HORLICKS 3IN1 ORIGINAL 10SX28G,11.80
SPRITZER MINERAL WATER 6X1.25L,11.85
AHMAD TEA CAMOMILE AND LEMONGRASS 20S,11.89
NESTLE GOODNES DAIRY FREE ALMOND & OAT 1L,11.90
NESTLE GOODNES DAIRY FREE OAT 1L,11.90
FERNLEAF FULL CREAM 300G,11.90
VIDA C ORANGE 325MLX4,11.90
VIDA C PINK GUAVA 325MLX4,11.90
VIDA C LEMON 325MLX4,11.90
VICO 3 IN 1 ORIGINAL DELICIOUS CHOCOLATE MALT DRINK 18 X 32G,11.95
HORLICKS MALT POUCH 360G,11.95
SO GOOD OAT CHOCOLATE 1L,11.99
SO GOOD ALMOND CHOCOLATE 1L,11.99
SUPER RICH 3IN1 INSTANT COFFEE 18GX25S,11.99
UFC VELVET CHOCOLATE OAT MILK 1L,11.99
SUPER ORIG 3IN1REG INS 25X18G,11.99
NESCAFE LATTE HAZELNUT 20SX24G,11.99
STR SO GOOD ALMOND MILK (VANILLA) 1L,11.99
NESCAFE LATTE CARAMEL 25GX20S,11.99
SANITARIUM SO GOOD ALMOND MILK (UNSWEETENED) 1L,11.99
SANITARIUM SO GOOD ALMOND MILK (ORIGINAL) 1L,11.99
NESCAFE LATTE MOCHA 15SX31G,11.99
SANITARIUM SO GOOD UNSWEETENED OAT MILK 1L,11.99
NESCAFE CLASSIC REFILL PACK 100G,12.29
KOPIKO KAW 3 IN ONE 35SX20G,12.39
AIK CHEONG W/C ORIGINAL 38GX12S,12.40
AIK CHEONG W/C KOSONG 30GX12S,12.40
AIK CHEONG W/C LESS SWEET 38GX12S,12.40
AIK CHEONG TEH TARIK KLASIK 38GX12S,12.40
F&N ROSE CORDIAL SYRUP 2L,12.45
F&N GRAPE CORDIAL 2L,12.45
F&N CORDIAL RUT B 2L,12.45
F&N SARSAPARILLA CORDIAL 2L,12.45
F&N ROSE CORDIAL SYRUP 2L,12.45
NUTRIGOLD 2IN1 WHITE COFFEE 30GX15S,12.49
MILO ACTIV-GO NUTRIPLUZ UHT 6x200ML,12.49
AIK CHEONG TEH TARIK COMBO 4IN1 15X40G,12.49
AIK CHEONG TEH TARIK HALIA 38GX12S,12.49
AIK CHEONG TEH TARIK KOSONG 25GX12S,12.49
EVERYDAY FILLED MILK POWDER 250G,12.50
FN TEH TARIK PET 270MLX4,12.59
FN TEH TARIK L/SWEET PET 270M,12.59
COOL RHINO O2 350MLX4,12.79
NUTRIGOLD 3IN1 WC CLASSIC 40GX15S,12.85
CHA TRA MUE THAI MILK TEA 400G,12.90
CHA TRA MUE THAI GREEN MILK TEA 200G,12.90
JALEN KORDIAL ANGGUR 2L,12.90
JALEN KORDIAL ROS 2L,12.90
JALEN KORDIAL SARSI 2L,12.90
JALEN KORDIAL BARLI 2L,12.90
RIBENA LESS SWEET 1L,12.90
SUN UP GOLD MANGO CARROT 850ML,12.90
SUN UP GOLD CASABLANCA 850ML,12.90
SUN UP GOLD MIX BERRY 850ML,12.90
LIPTON SERVICES TEABAGS 100S,12.95
DILMAH PURE CAMOMILE 20X1.5G,12.99
DILMAH PURE PEPPERMINT 20X1.5G,12.99
NESTLE OMEGA PLUS DARK CHOCO 200MLX6,12.99
NESCAFE GOLD BLEND 50G,12.99
NUTRIGOLD 3 IN 1 HOT CHOCOLATE DRINK 15 STICKS X 30G,12.99
KAPAL API 3IN1 GULA MELAKA 18SX27G,12.99
NESCAFE ORIGINAL CAN (5+1) X 240ML,12.99
NESTLE OMEGA PLUS UHT 200MLX6,12.99
NESCAFE TARIK CAN 6X240ML,12.99
NESCAFE ORIGINAL COFFEE CAN 240ML X 6S,12.99
NESCAFE LATTE CAN (6X240ML),12.99
MILO ACTIGEN-E CAN (6X240ML),12.99
NESCAFE MOCHA CAN (6X240ML),12.99
FARM FRESH UHT ALMOND MILK 1L,13.00
FARM FRESH UHT ALMOND UNSWEET 1L,13.00
FARM FRESH UHT OAT MILK 1L,13.00
AH HUAT HERBAL TEA 310MLX6,13.20
OVALTINE ORIGINAL TASTE 820G,13.30
SUNQUICK CONCENTRATE BLACKCURRANT 700ML,13.40
SUNQUICK CONCENTRATE ROSE LYCHEE 700ML,13.40
SUNQUICK CONCENTRATE TROPICAL 700ML,13.40
SUNQUICK CONCENTRATE ORANGE 700ML,13.40
BOH DOUBLE CHAMBER TEABAGS 100S,13.50
RIBENA STRAWBERRY 1L,13.65
RIBENA CONCENTRATE REGULAR 1L,13.65
KOPIKO INSTANT BROWN COFFEE 22SX25G,13.69
STARBUCKS CAPPUCCINO 4SX14G,13.69
STARBUCKS CARAMEL LATTE 4SX21.5G,13.69
STARBUCKS CAFFE MOCHA 4SX22G,13.69
STARBUCKS LATTE 4SX14G,13.69
KOPIKO LOW ACID COFFEEMIX 24SX21G,13.69
PER L CAFE K/FATIMAH COFFE 20SX20G,13.90
NESCAFE GOLD AMERICANO 15X11G,13.95
BOH 3 IN 1 INSTANT TEA MIX 30S,13.95
WONDA 3 IN 1 PREMIUM COFFEE ORIGINAL 15 STICK PACKS X 23G,13.99
LOTUSS CHOCOMALT 1KG,13.99
MILO ACTIV GO CEREAL 10X36G,13.99
MILO ACTIV GO CEREAL 10X36G,13.99
OATSIDE OAT MILK BARISTA EDITION 1L,13.99
OATSIDE OAT MILK CHOCOLATE 1L,13.99
HORLICKS 3IN1 CEREAL DRINKS 10SX32G,13.99
MILO ACTIV GO ORIGINAL 18SX30G,13.99
MILO FUZE 3IN1 18X33G,13.99
MILO FUZE 3IN1 18X33G FOC 3S,13.99
FARM FRESH UHT OAT MILK 200MLX4,14.00
FARM FRESH UHT ALMOND MILK 200MLX4,14.00
FARM FRESH UHT ALMOND UNSWEET 200MLX4,14.00
BOH GREEN TEA LATTE 27GX12S,14.30
BOH TEH TARIK KURANG MANIS HALIA 12SX26G,14.30
BOH 3IN1 TEH TARIK KURANG MANIS 12SX27G,14.30
NESCAFE CLASSIC JAR 100G,14.35
RED BULL BTL 150MLX6,14.49
NESCAFE GOLD CREAMY LATTE 12X31G,14.49
HALAGEL PREMIX COFFEE ROCK SALT 25GX15S,14.49
NESCAFE GOLD DARK LATTE 12X34G,14.49
SUNQUICK JUMBO MANGO 700ML,14.50
SUNQUICK JUMBO MANDARIN 700ML,14.50
SUNQUICK JUMBO LEMON 700ML,14.50
KLUANG CAP TV KOPIO KOSONG 50SX10GM,14.50
KLUANG WHITE COFFEE 3IN1 15SX40GM,14.50
DILMAH EXCPT ROSE W FRCH VANILLA 20SX2G,14.50
DILMAH EXCPT FRAGANT JASMINE GT 20SX2G,14.50
DILMAH EXCPT BERRY SENSATION 20SX2G,14.55
DILMAH EXCPT ELEGANT EARL GREY 20SX2G,14.55
DILMAH EXCPT GENTLE MINTY GT 20SX2G,14.55
SPRITZER MINERAL WATER 24X250ML,14.60
AHMAD TEA FRUIT TEA SELECTION 20S,14.75
DILMAH CEYLON GT LEMONGRASS 20SX2G,14.85
DILMAH PURE CEYLON GREEN TEA WITH GINGER 20 TEA BAGS 40G,14.85
DILMAH CEYLON GT CHAMOMILE 20SX2G,14.85
CAP MASJID SERBUK TEH CAMPURAN 900G,14.90
FERNLEAF FAMILY MILK 550G,14.90
SUPER CLASSIC INS 180GX12 MY,14.99
SUPER CLASSIC WHITE COFFEE 35GX15S,14.99
SUPER HAZELNUT WHITE COFFEE 33GX15S,14.99
SUPER CHARCOAL ROASTED HERITAGE WHITE COFFEE COFFEE & CREAMER 2 IN 1 15X25G,14.99
SUPER WHITE COFFEE BROWN SUGAR 36GX15S,14.99
TEH MASJID A-RED 900G,15.15
AIK CHEONG W/C HAZELNUT 38GX12S,15.29
OLDTOWN WC 3IN1 HAZELNUT 15sX38G,15.29
OLDTOWN WC 3IN1 LESS SUGAR 15sX35G,15.29
OLDTOWN WC 3IN1 SALTED CARAMEL 15sX35G,15.29
OLDTOWN SMOOTH ROAST 3IN1 15sX25G,15.29
PETANI ICE LEMON TEA 30GX20PCS,15.29
OLDTOWN WC 3IN1 EXT RICH 15sX35G,15.29
OLDTOWN WHITE COFFEE 3IN1 CLASSIC 15X38G,15.29
MOSHA CHOCOLATE MALT 1KG,15.35
SPRITZER MINERAL WATER 550MLX12,15.50
OVALTINE MALTED MILK DRINK POWDER JAR 400G,15.65
AH HUAT LOW FAT NO SUGAR WHITE COFFEE 15 X 20G,15.65
AH HUAT CLASSIC WHITE COFFEE 15SX28G,15.65
AH HUAT EXTRA RICH WHITE COFFEE 15SX36G,15.65
AH HUAT WHITE COFFEE KOPITIAM CHARCOAL ROAST 15SX28G,15.65
HANG TUAH KOPI 3 IN 1 20GX20S,15.70
WETRA IPOH WHITE COFFEE 30GX15S,15.99
MISTER COFFEE BAGBREW ARABICA 10GX15S,15.99
PW.ROOT EXTRA HONEY TONGKAT ALI 250MLX6,15.99
NESCAFE 3IN1 MILD 25X18G,15.99
NESCAFE 3IN1 RICH 25X18G,15.99
NESCAFE 3IN1 ORI 25X18G,15.99
NUTRIGOLD CHOCOLATE MALT DRINK 1KG,15.99
RED BULL PLUS 250MLX6,15.99
RED BULL GOLD 250MLX6,15.99
RED BULL LESS SUGAR 250MLX6,15.99
L'OR ESSENSO COFFEE 3IN1 25GX20S,16.30
LOR ESSENSO COFFEE 2IN1 16GX20S,16.30
AH HUAT HAINAN TEA 15SX32G,16.50
SERBAT TEA 25GX20PCS,16.59
KACIMA CAFE 25GX20S,16.65
NESCAFE GOLD FLAT WHITE 15X24G,16.75
AH HUAT WHITE COFFEE GOLD MEDAL FD 38G X 15S,16.99
MILO ACTIV-GO CHOCOLATE MALT DRINK (SOFTPACK) 1KG,17.49
ALICAFE TA KARAMEL 36GX15S,17.50
ALICAFE TA LEBIH PEKAT 36GX15S,17.50
ALICAFE TA GINSENG 20X30G,17.50
LOTUSS MALTED DRINK 1KG,17.79
VICO 900G (POUCH),17.99
BLUE DIAMOND ALMOND UNSWT ORI MILK 946ML,17.99
BLUE DIAMOND ALMOND ORIGINAL MILK 946ML,17.99
BLUE DIAMOND ALMOND MATCHA MILK 946ML,17.99
BLUE DIAMOND ALMOND VANILLA MILK 946ML,17.99
BLUE DIAMOND ALMOND CHOCOLATE MILK 946ML,17.99
BLUE DIAMOND ALMOND LATTE MILK 946ML,17.99
EURY CAFE 25GX20S,17.99
OSK JAPANESE GREEN TEA 2GX50S,17.99
OSK ROASTED GREEN TEA 2GX50S,17.99
OSK JAPANESE TEA WITH ROASTED RICE TEA BAGS 2G X50S,17.99
OSK ROASTED GREEN TEA 2GX50S,17.99
MISTER COFFEE DRIPBREW ARABICA 10GX15S,18.00
NESCAFE DECAF 100G JAR,18.09
AHMAD TEA ENG B/FAST (TAGLESS)100TB,18.25
APACHE WHITE COFFEE 40GX15S,18.45
APACHE IPOH PRE BLACK WHITE COFF 40GX15S,18.45
LOTUSS CORDIAL ROSE 5L,18.55
LOTUS'S CORDIAL SARSAPILLA 5L,18.55
LOTUSS CORDIAL ORANGE 5L,18.55
LIPTON MT MATCHA 12SX20G,18.69
LIPTON MT TEH TARIK HALIA 20GX12S,18.69
LIPTON MT SIGN CLASSIC 20GX12S,18.69
LIPTON MT TEH TARIK 20GX12S,18.69
AHMAD TEA JASMINE GREEN TEA 100S,18.90
ANLENE ACTIFIT 3X 600G,18.90
ANLENE ACTIFIT CHOCOLATE 3X 600G,18.90
FERNLEAF FULL CREAM 550G,18.95
LE CAFE ROAST MST PAPUA NEW GUINEA 100G,18.99
PER'L K/FATIMAH KOLAGEN KURMA 250MLX6,18.99
BLUE DIAMOND BARISTA ALM UNSWT MILK 946ML,18.99
LE CAFE ROAST MASTER BRAZIL 100G,18.99
LE CAFE ROAST MASTER COLUMBIA 100G,18.99
LOTUSS SENCHA TEA BAG 50SX2G,18.99
LOTUSS GENMAICHA TEA BAG 50SX2G,18.99
LOTUSS HOJICHA TEA BAG 50SX1.5G,18.99
HANG TUAH COFFEE PWD MIX 1KG,19.19
IFOLIA KOPI JANTAN 25GX15S,19.89
HYH HERBAL DRINK(SOURPLUM)240MLX6,19.95
HYH HERBAL DRINK (ORI)240MLX6,19.95
DUTCH LADY CHOCOLATE DRINK 900G,19.95
SUNKIST PISTACHIO UNSWEETENED MILK 946ML,19.99
SUNKIST PISTACHIO ORIGINAL MILK 946ML,19.99
SUNKIST PISTACHIO CHOCOLATE MILK 946ML,19.99
VALUE CHOCOLATE MALT 2KG,19.99
AHMAD TEA EARL GREY 100S,19.99
ALICAFE TONGKAT ALI GINSENG ORI 250MLX6,20.50
NESTLE EVERYDAY MILK POWDER 500G,20.60
LOR ESSENSO BRAZILIAN ELEGANCE 20SX25G,20.82
LOR ESSENSO COLOMBIAN MYSTIQUE 20SX16G,20.82
BUNDABERG PASSION FRUIT 375MLX4,20.85
BUNDABERG ROOT BEER 375MLX4,20.85
BUNDABERG TRADITIONAL LEMONADE 375MLX4,20.90
BUNDABERG GINGER BEER 375MLX4,20.90
TWININGS JASMINE GREEN TEA 25X1.8G,21.99
TWININGS ENGLISH BREAKFAST 25X2G,21.99
TWININGS EARL GREY 25X2G,21.99
TWININGS JASMINE GREEN TEA 25X1.8G,21.99
TWININGS PURE GREEN TEA 25X2G,21.99
NESCAFE CLASSIC DARK ROAST 200G,21.99
NESCAFE CLASSIC REFILL PACK 200G,21.99
NESCAFE CLASSIC REFILL PACK 200G FOC 20G,21.99
HORLICKS ORIGINAL (REFILL PACK) 900G,21.99
TWININGS GREEN COLLECTION 20SX1.7G,22.00
MONSTER ENERGY 355ML 4S,22.00
MILO FUZE 3IN1 30SX33G,22.90
NESCAFE CLASSIC REFILL PACK 300G,22.99
FERNLEAF FAMILY MILK 900G,23.20
DKE PURE GOAT MILK POWDER 18GX15S,23.52
OSK PUER JAPAN ROAST TEA 50SX2G,23.90
ANLENE GOLD 5X 600G,23.90
RIBENA BLACKCURRANT CORDIAL 2L,23.90
NESCAFE GOLD DECAF 100G,23.99
NESCAFE GOLD BLEND 100G,23.99
HARADA JAPANESE TEA BAGS 2GX50S,24.99
HARADA BROWN RICE N GREEN TEA 2GX50S,24.99
ANRAMIN GOAT MILK WITH DATES 16S X 25G,24.99
ANRAMIN GOAT MILK WITH COFFEE 16S X 25G,24.99
LOTUSS CHOCOMALT 2KG,24.99
AIK CHEONG KOPI O ECONOMY PACK 10GX100S,25.90
BONCAFE ALL DAY COFFEE POWDER 200G,26.35
BONCAFE EXPRESSO COFFEE POWDER 200G,26.35
TWININGS LEMON GINGER 25SX1.5G,26.50
NESCAFE CLASSIC JAR 200G,26.59
NESCAFE GOLD ORIGINS ALTA RICA 100G,26.75
NESCAFE GOLD ORIGINS CAP COLOMBIA 100G,26.75
SIN SING COFFEE O 100SX10G,26.90
TWININGS PURE CAMOMILE 25X1G,26.99
TWININGS PURE PEPPERMINT 25X2G,26.99
MILO HI FIBRE 900G,26.99
EVERYDAY FILLED MILK POWDER 800G,27.30
BONCAFE COLOMBIAN INSTANT COFFEE 100G,27.49
ANRAMIN SUSU KAMBING ASLI 16S X 23G,27.99
FERNLEAF FULL CREAM 900G,28.75
STARBUCKS NESPRESSO BREAKFAST BLEND 56G,29.45
STARBUCKS NESPRESSO SUMATRA LUNGO 55G...,29.45
STARBUCKS NESPRESSO ESPRESSO ROAST 57G,29.45
STARBUCKS NESPRESSO HOUSE BLEND 57G,29.45
NESCAFE GOLD REFILL PACK 170G,29.70
ANGLOMAC SKIM MILK POWDER 1KG,29.99
NESTLE OMEGA PLUS 600G,30.40
DAVIDOFF CAFE-RICH AROMA 100G,30.99
DAVIDOFF CAFE-FINE AROMA 100G,30.99
DAVIDOFF CAFE-ESPRESSO 100G,30.99
FERNLEAF PROTEIN PLUS 800G,31.00
ANLENE ACTIFIT 3X 1KG,31.50
BONCAFE COLUMBIAN DECAFFEINATED FREEZE 100G,32.89
DOLCE GUSTO CAFE AU LAIT 160G,33.10
NESCAFE DOLCE GUSTO AMERICANO 128G,34.75
NESCAFE DOLCE GUSTO CAPPUCINO 200G,34.75
NESCAFE DOLCE GUSTO LATTE MACHIATO 194G,34.75
NESCAFE DOLCE GUSTO ESPRESSO INTENSO 96G,34.75
NESCAFE DLC GST GRANDE INTENSO 16CAPx132.8G,34.75
NESCAFE DOLCE GUSTO FLAT WHITE 144G,34.75
STARBUCKS CARAMEL MAC 12CAPS 128G,35.90
STARBUCKS ESPRESSO ROAST 12CAPS 66G,35.90
STARBUCKS HS BLEND AMECN 12CAPS 102G,35.90
STARBUCKS CAPPUCCINO 12CAPS 120G,35.90
VICO 2KG (POUCH),36.50
STARBUCKS MEDIUM ROAST TIN 90G,37.69
STARBUCKS DARK ROAST TIN 90G,37.69
ANLENE GOLD 5X 1KG,37.90
BONCAFE BRAZILIAN INSTANT COFFEE 200G,38.09
MILO (SOFTPACK) 2KG,38.50
MILO 1.4KG,39.99
NESCAFE GOLD JAR 200G,40.99
FERNLEAF FAMILY MILK POWDER 1.8KG,41.99
MOCCONA CLASSIC DARK ROASTED 200G,43.66
MOCCONA CLASSIC MEDIUM ROASTED 200G,43.66
MOCCONA ESPRESSO STYLE 200G,43.66
NESTLE OMEGA PLUS 1KG,45.50
NESTLE ENERCAL COMPLETE CAN 400G,45.90
HORLICKS POUCH 1.65KG,46.79
COKE LESS CALORIES RASA ASLI 320MLX24,46.90
NESTLE OMEGA PLUS DARK CHOCOLATE 900G,51.90
FERNLEAF FULL CREAM 1.8KG,52.50
ANLENE TOTAL 10 800G,54.90
ENSURE GOLD VANILLA YBG 400G,59.90
ENSURE GOLD WHEAT YEAST BETA GLUCAN 400G,59.90
ENSURE GOLD PLANT-BASED 400G,59.90
DUTCH LADY FULL CREAM UHT MILK 1LX12,69.48
PEDIASURE 10+ VAN 600G BIB,75.99
PEDIASURE 10+ CHOC 600G BIB,75.99
NESTLE ENERCAL COMPLETE CAN 850G,89.90
ENSURE GOLD COFFEE YBG 800G,103.90
ENSURE GOLD VANILLA YBG 800G,103.90
ENSURE GOLD WHEAT YBG 800G,103.90
ENSURE GOLD ALMOND FLAVOURED PLANT-BASED 850G,103.90
ABBOTT PEDIASURE 10+ CHILDREN’S MILK FORMULA (VANILLA) 850G | FOR AGE 10~15 YEARS OLD,106.59
PEDIASURE 10+ CHOCOLATE 850G,106.59
GLUCERNA CHOCOLATE 800G,135.99
ABBOTT GLUCERNA VANILLA 850G,135.99
